"Timestamp","Bangla Comments","Result"
"2018/07/14 8:11:04 PM GMT+6","উইকেট বিলিয়ে দিয়ে এসে এইসব কথা বলে আদতে লাভ নেই, মুশফিকুরের কথাই ধরা যাক, ফাস্ট ইনিংস এ যেই বলে লেগ বিফোর হয়েছে, সেকেন্ড ইনিংস এ একই বলে হয়েছে বোল্ড, এডজাস্টমেন্ট জিনিসটার ধারেকাছেও এরা নেই","সমালোোচনা"
"2018/07/14 8:11:31 PM GMT+6","ভালো ডিফেন্স যেমন ফুটবল টূর্নামেন্ট জিতায় তেমন ক্রিকেটে ভালো বোলিং লাইন আপ টূর্নামেন্ট জিতায়। বোলিং লাইন আপ এত নির্বিষ, আশা করতেও ভয় লাগে।","দু:খদায়ক"
"2018/07/14 8:12:55 PM GMT+6","❤ এই ফরম ধরে রাখতে পারলে ওয়ার্ল্ড কাপে ভাল করব ।","প্রশংসা"
"2018/07/14 8:13:24 PM GMT+6","৮ উইকেটের জয় অভিনন্দন বাঘিনীরা","প্রশংসা"
"2018/07/15 12:26:28 AM GMT+6","হিপ হিপ হুররে!

বলেছিল চ্যাম্পিয়ন হতে চাই, চ্যাম্পিয়ন হয়েই ফিরছে <3","প্রশংসা"
"2018/07/15 12:27:09 AM GMT+6","টি২০ ওয়াল্ড কাপ কোয়লিফায়ারের ফাইনালে আয়ারল্যান্ডকে ২৫ রানে হারিয়ে চ্যাম্পিয়ন বাংলাদেশ জাতীয় ক্রিকেট দল।
অভিনন্দন তাদের।","প্রশংসা"
"2018/07/15 12:31:18 AM GMT+6","নিঃসন্দেহে বাংলাদেশের ক্রিকেট টিমের(বাঘিনি) সেরা সময় যাচ্ছে।আজকেও বাঘিনিরা প্রমান করল তারা সামনের বিশ্বকাপের ফেভোরিট টিম। Well done Bd tigress.😍Congraculation.","প্রশংসা"
"2018/07/15 1:06:55 AM GMT+6","বাংলাদেশ আজ জয়ের সুযোগ হাতে নিয়েও হেরে যাচ্ছে।","সমালোোচনা"
"2018/07/15 9:11:27 AM GMT+6","কোন টিম যদি গেমপ্লেন কাজে লাগাতে না পারে দ্বায়ভার তো অধিনায়ককেই নিতে হবে।","সমালোোচনা"
"2018/07/15 9:13:16 AM GMT+6","আর ব্যাট না উইকেটে যে ময়েশচার ছিলো তাতে ১ঘন্টায় বাংলাদদেশ আউট হতো...
","দু:খদায়ক"
"2018/07/15 9:17:30 AM GMT+6"," নিন্দুকদের কথায় সাকিব কান দেইনা কারোনেই আজ বিশ্বসেরা অলরাউন্ডার হতে পারছে |","প্রশংসা"
"2018/07/15 9:18:49 AM GMT+6","বাংলাদেশ হারবে তা কালই নিশ্চিত হইছে...

মাঝখানে এই প্রাপ্তি একটু শান্তি দেয় এই যা","দু:খদায়ক"
"2018/07/15 9:19:11 AM GMT+6","আজ গরীব বলে মডারেটর দাদা আমার কমেন্ট টা ডিলেট দিয়া দিলো|","দু:খদায়ক"
"2018/07/15 9:19:52 AM GMT+6","ক্যারিবিয়ান দুর্গে দলের ভরাডুবির মধ্যেও সিরিজে বুদ্ধিদীপ্ত বোলিং করে যাচ্ছেন অধিনায়ক সাকিব আল হাসান!","প্রশংসা"
"2018/07/15 9:20:11 AM GMT+6","আগের ইনিংসে মিরাজ ফাইফার লাভ করেন, ওইন্ডিজের দ্বিতীয় ইনিংসে ছয় উইকেট লাভের মধ্য দিয়ে একটি রেকর্ড গড়েন মি. অলরাউন্ডার","প্রশংসা"
"2018/07/15 9:20:25 AM GMT+6","বাংলাদেশি বোলার হিসেবে বিদেশের মাটিতে সেরা বোলিং করার রেকর্ড এখন সাকিবের!! ","প্রশংসা"
"2018/07/15 9:20:46 AM GMT+6","১৭ ওভার বল করে ৩৩ রান দিয়ে ছয় উইকেট পান |","প্রশংসা"
"2018/07/15 9:21:05 AM GMT+6","হেটার্সদের মুখ বন্ধ না থাকলেও নিজ পারফর্ম করেই যাচ্ছেন টাইগার দলপতি |","প্রশংসা"
"2018/07/15 9:22:35 AM GMT+6","উইন্ডিজের বিপক্ষে ৬ উইকেট শিকার সাকিব আল হাসানের।","প্রশংসা"
"2018/07/15 9:22:52 AM GMT+6","ওয়েস্ট ইন্ডিজের বিপক্ষে ৬ উইকেট শিকার করলেন, সাকিব তাঁর বলে আউট হন, ক্রেইগ ব্রাথওয়েট ডেভন স্মিথ, কেমো পাউল কেইরন পাওয়েল' মিগেল কামিন্স ও শেনন গাব্রেইল।","প্রশংসা"
"2018/07/15 9:23:11 AM GMT+6","অভিনন্দন সাকিব ভাই ।","প্রশংসা"
"2018/07/15 9:23:52 AM GMT+6","লাস্ট ম্যাচেই তো তার চৌদ্দগোষ্টি নিয়া টানাটানি শুরু হয়ে গেছিলো। এ ম্যাচে আবার সাকিব বন্দনা | আমরা পারিও |","দু:খদায়ক"
"2018/07/15 9:24:18 AM GMT+6"," ভালো করলে ভালো বলবে এটাই সাভাবিক।
খারাপ করলে খারাপ বলবে।
কিন্তু আমরা গালি দিয়ে দেই |","দু:খদায়ক"
"2018/07/15 9:24:32 AM GMT+6","বিদেশের মাটিতে বাংলাদেশের বেস্ট বেলিং ফিগার |","প্রশংসা"
"2018/07/15 9:25:20 AM GMT+6","অসাধারণ ইনিংস |","প্রশংসা"
"2018/07/15 9:26:55 AM GMT+6","ভালই খেলে দেখি ভাইয়েরা |","প্রশংসা"
"2018/07/15 9:27:40 AM GMT+6","জোড়া সেন্ঞুরি হাকিয়েছেন তামিম & মাহমুদুল্লাহ।দুজনেই সেচ্ছায় অবসর নিয়েছেন।
","প্রশংসা"
"2018/07/15 9:28:23 AM GMT+6","বোলিং দারুন করছে বাংলাদেশ |","প্রশংসা"
"2018/07/15 9:28:43 AM GMT+6","এই ম্যাচ থ্রেডেও একজন হাহা রিঅ্যাক্ট দিসে!!!","দু:খদায়ক"
"2018/07/15 9:29:47 AM GMT+6","খেলা পারে না সাকিব বিপদের দিনে ৬ টা নেয়। 
","প্রশংসা"
"2018/07/15 9:31:26 AM GMT+6","ইমরুল কত করছে??

নিষেদ না থাকলে গালি দিতাম|","সমালোোচনা"
"2018/07/15 9:31:57 AM GMT+6","বিশ্বকাপ চলাকালেও মেসি নেইমার বাদ দিয়ে সাকিবের ছবি প্রোফাইলে রাখে যেই জন সেই না প্রকৃত সাকিবিয়ান |","প্রশংসা"
"2018/07/15 9:32:38 AM GMT+6"," সাকিবকে নিয়ে এত চুলকানি রাখে যে জন কে বলে মানুষ তারে অগাস্টিন পাভলভ সে জন।","সমালোোচনা"
"2018/07/15 9:33:05 AM GMT+6","সাকিব ৫৮* করসে!! মাথাই নষ্ট!!!!","প্রশংসা"
"2018/07/15 9:34:39 AM GMT+6"," আমার আইডল।","প্রশংসা"
"2018/07/15 9:36:15 AM GMT+6"," আউট হওয়া ৩ জন মিলে ১০ রান বা তার নিচে করছে। বস কত করছে ইচ্ছা মত বসাই নেন |","দু:খদায়ক"
"2018/07/15 9:36:42 AM GMT+6","এইটা সাকিবের কি অনুশীলন বুঝলাম না। অনুশীলন ম্যাচে যত বেশি সময় উইকেটে কাটাবে টেস্টে তত বেশি মনযোগী হতে পারবে। ওয়ানডে/টি-টুয়েন্টি স্টাইলে অনুশীলন ম্যাচে ব্যাট করে বেনিফিটেড হওয়া যায়না। এই ফিফটি অন্তত ১০০ বল ফেস করে করা উচিৎ।
","সমালোোচনা"
"2018/07/15 9:40:54 AM GMT+6","গিলির ভূমিকা আর সাকিবের ভূমিকা এক না। টেস্টে গিলি যে অর্ডারে নামে সেই অর্ডারে উইকেট টেকানোর খেলা হয় না। রান তোলার খেলা হয়। আর গিলক্রিস্টের সাথে সাকিবের তুলনা হয় না কখনই। সাকিব সেরা অলরাউন্ডার হলেও গিলির মতন ফেমাসিটি+ক্লাস জীবনেও পাবে না। গিলির উদাহরন সে নিজেই। গিলি আর এমএসডি এদের মতন উইকেটকিপার+ব্যাটসম্যান ক্রিকেটে আজও আসে নাই।","প্রশংসা"
"2018/07/15 9:41:21 AM GMT+6","সেখানে সাকিব স্পিনার হিসাবে মূল ভুমিকা পালন করত। এটা শুধু আমি না, অনেক কমেন্টেটরও বলছে।","প্রশংসা"
"2018/07/15 9:43:12 AM GMT+6","বাছাই পর্বেও চ্যাম্পিয়ন বাংলার বাঘিনীরা|","প্রশংসা"
"2018/07/15 9:43:44 AM GMT+6","জয়ে পাবার নেশাটা যেন ভালই চেপে বসেছে অঞ্জু জৈনের শিস্যদের। একদিকে পুরুষ দলের একের পর এক ভরাডুবি দেখে যখন বাংলাদেশী সমর্থকদের মন ভাঙতে শুরু করেছিল তখনই সমর্থকদের মন জয় করতে শুরু করেছে সালমা জাহানারারা। মন জয় করার মতই বিষয়।","প্রশংসা"
"2018/07/15 9:44:01 AM GMT+6","টি২০ বিশ্বকাপে যাচ্ছে বাংলার বাঘিনীরা। তার উপর বাছাইপর্বে চ্যাম্পিয়ন দল হয়ে।","প্রশংসা"
"2018/07/15 9:44:15 AM GMT+6","টি২০ বিশ্বকাপ বাছাইপর্বের ফাইনালে আয়ারল্যান্ডকে ২৫ রানে হারিয়ে চ্যাম্পিয়ন হল বাংলাদেশ।","প্রশংসা"
"2018/07/15 9:44:43 AM GMT+6","শুভ কামনা বাঘিনীদের জন্য।","প্রশংসা"
"2018/07/15 9:45:01 AM GMT+6","অভিনন্দন নারী ক্রিকেট দলকে।","প্রশংসা"
"2018/07/15 9:45:33 AM GMT+6","তামাশা করতেই কি ওয়েস্ট ইনডিজ সফর??? প্রশ্নজাগে খেলোয়ারদের ডেডিকেশন এবং কমিটমেন্ট নিয়েও...১১ ব্যাটসম্যানের ৫ জনের নামের পাশে শূন্য রান!!! তামাশা ছাড়া এটাকে কি বলা যাবে???","সমালোোচনা"
"2018/07/15 9:45:56 AM GMT+6","৪৩ রানে অলআউট হওয়াটা দূর্ঘটনা, ২য় ইনিংসে ৬২ রানে ৭ উইকেট হারানোও দূর্ঘটনা!!! কাল শেষ ৬ উইকেট ৫০ রানের মধ্য এটাও কি দূর্ঘটনা???","সমালোোচনা"
"2018/07/15 10:07:51 AM GMT+6","শালা গরে জরি মানা করা হক |","সমালোোচনা"
"2018/07/15 10:08:07 AM GMT+6","জরিমানা করেও শিক্ষা দেয়া যাবে না এগে |","সমালোোচনা"
"2018/07/15 10:08:54 AM GMT+6","খেলা দেখার মনই উঠে যাচ্ছে|","দু:খদায়ক"
"2018/07/15 10:09:09 AM GMT+6","ওরা জীবনে খেলা শিখতে পারবেনা |","সমালোোচনা"
"2018/07/15 10:09:22 AM GMT+6","ডেডিকেশন নাই কোনও |","সমালোোচনা"
"2018/07/15 10:09:58 AM GMT+6","রিয়াদ মমিনুল লিটনরে কয়েক বছরের জন্য বাই বলা উচিত |","সমালোোচনা"
"2018/07/15 10:11:07 AM GMT+6","বাংলাদেশ দলে এখন প্রতিযোগিতা চলছে কে কত তাড়াতাড়ি ড্রেসিংরুমে ফিরতে পারে |","সমালোোচনা"
"2018/07/15 10:11:40 AM GMT+6"," আপনাকেও ধন্যবাদ সবকিছু এত্ত সুন্দর ভাবে বিশ্লষন করার জন্য |","প্রশংসা"
"2018/07/15 10:26:35 AM GMT+6","তাদের ক্রিকেট খেলার মধ্যে মনোযোগ কতটুকু আমার ডাউট হয়। 
","সমালোোচনা"
"2018/07/15 10:28:17 AM GMT+6","সাকিব বলছে এরকম একটা কথা

আফগানদের সাথে হার ভুলে যাবো একটা সিরিজ জিতলে|","দু:খদায়ক"
"2018/07/15 10:34:13 AM GMT+6","২০০৩ থেকে খেলা দেখি তখন শুনতাম তারা বলতো আমরা টেস্টে নতুন আমরা শিখছি। সেটা নিতাম কিন্তু আজ ২০১৮ এখনও ১৫ বছর পরে এসে তারা শিখছে বাট শিখা আর হয়না। কি করবে শিখারতো কোন শেষ নাই তারা শিখতে থাকুক।","দু:খদায়ক"
"2018/07/15 10:39:08 AM GMT+6","রিভিউ না নেবার ব্যাপারটি অবিশ্বাস্য, অকল্পনীয়, অমার্জনীয় অপরাধ যেখানে রিভিউ নষ্ট হয়না।","সমালোোচনা"
"2018/07/15 10:49:34 AM GMT+6","জীতলে ভাই মাথায় চইড়া বসে।এইটা করবে না অইটা করবে দিশা খুজে পায় না।প্রেম করবে না রাজনিতী করবে এই চিন্তায় বিজি সব।এরা নাম কামাইতে আসছে ভাই খেলতে না।","সমালোোচনা"
"2018/07/15 10:50:20 AM GMT+6"," শুধু তামিম আর মুশির জন্য খারাপ লাগে।ওদের ডেডিকেশন অনেক|","দু:খদায়ক"
"2018/07/15 10:51:39 AM GMT+6","হাথুরি ট্যালেন্ট চিনতে ভূল করতো না।","প্রশংসা"
"2018/07/15 10:52:52 AM GMT+6","বাজি ধরে বলতে পারি, এই উইন্ডিস দলের সাথে, ওই একই মাঠে খেলা হবে, শুধু গ্যালারিতে থাকবে আমাদের দর্শক। দেখবেন এই হারা ম্যাচটাও জিতিয়ে নিয়ে আসবে ওরা। ","প্রশংসা"
"2018/07/15 10:55:32 AM GMT+6","বিশ্ব জয় করছি।।।","প্রশংসা"
"2018/07/15 10:55:44 AM GMT+6","হাতরু ট্যালেন্টেড প্লেয়ার চিনে।","প্রশংসা"
"2018/07/15 10:57:24 AM GMT+6","টেস্ট ছাড়া ক্রিকেট অর্থহীন!!
এগুলো আবেগীয় কথাবার্তা|","দু:খদায়ক"
"2018/07/15 10:58:32 AM GMT+6","এই বছর এর সেরা জোকস|","প্রশংসা"
"2018/07/15 10:59:25 AM GMT+6","ভাই, টেস্ট ক্রিকেট হলো সব ফরম্যাটের পিতা... আর বোধ করি আপনি আপনার পিতাকে অস্বীকার করবেন না |","দু:খদায়ক"
"2018/07/15 10:59:40 AM GMT+6","আমিতো মাঝে মাঝে আফসোস করি, কেন যে বাংলাদেশে হিটলারের মত কেউ ছিলোনা|","দু:খদায়ক"
"2018/07/15 11:01:57 AM GMT+6","পোষ্ট করলাম ক্রিকেটের বিশ্বায়ন নিয়ে কিন্তু এরা আমার ক্রিকেটিয় জ্ঞান নিয়েই প্রশ্ন তুলছে!!","দু:খদায়ক"
"2018/07/15 11:02:43 AM GMT+6","আবারও হাসপাতালে তাসকিন।
","দু:খদায়ক"
"2018/07/15 11:03:04 AM GMT+6","বলের আঘাতে ডান হাতের দুই আঙ্গুলের মাঝখানে চোট পেয়েছেন। সেখানে ফেটে গেছে। ফেটে যাওয়া হাতের চিকিৎসার জন্য তাকে রাজধানীর অ্যাপোলো হাসপাতালে পাঠানো হয়েছে।","দু:খদায়ক"
"2018/07/15 11:03:21 AM GMT+6","বাংলোদেশ ক্রিকেটের ২৩ বছর বয়সী এই ডানহাতি ফাস্ট বোলার আবাহনীর মাঠে ফিল্ডিং করতে গিয়ে চোট পান।","দু:খদায়ক"
"2018/07/15 11:03:34 AM GMT+6","বিষয়টি নিয়ে বিসিবি চিকিৎচক দেবাশীষ চৌধুরীর কাছে জানতে চাইলে তিনি বলেন, নুন্যতম এক সপ্তাহ, ‘অ্যাপোলোতে পাঠানো হয়েছে সেলাই এর জন্য। সেলাই করা মানেই তো এক সপ্তাহ।

","দু:খদায়ক"
"2018/07/15 11:03:53 AM GMT+6","ছেলেটা চোটের সাথে লড়াই করেই চলেছে।এভাবে চলতে থাকলে একদিন না ক্রিকেটটাই ছেড়ে দেয়","দু:খদায়ক"
"2018/07/15 11:04:15 AM GMT+6","১০ হাজার রানের ক্লাবে মহেন্দ্র সিং ধোনি.","প্রশংসা"
"2018/07/15 11:04:40 AM GMT+6","১০ হাজার রানের ক্লাবে মহেন্দ্র সিং ধোনি.","প্রশংসা"
"2018/07/15 11:05:02 AM GMT+6","এর আগে কুমার সাঙ্গাকার ছিলেন একমাত্র ১০ হাজার রান করা একমাত্র উইকেট রক্ষক ব্যাটসম্যান.","প্রশংসা"
"2018/07/15 11:05:17 AM GMT+6","ভারতীয় ক্রিকেটারদের এর মধ্যে এর আগে শচীন টেন্ডুলকার,সৌরভ গাঙ্গুলি এবং রাহুল দ্রাবিড়ের ছিল এ কীর্তি.","প্রশংসা"
"2018/07/15 11:05:30 AM GMT+6","এই জন্য ধোনিকে খেলতে হয়েছে ৩২০ ম্যাচ এবং ২৭৩ ইনিংস....৫১.৪৭ গড়ে ৮৮.৮৩ স্ট্রাইকরেটে এ ল্যান্ডমার্কে পা দেন ধোনি","প্রশংসা"
"2018/07/15 11:05:48 AM GMT+6","তবে ১০ হাজারি ক্লাবে ধোনি এগিয়ে সবচেয়ে একটি জায়গায় সেটি হলো গড়...১০ হাজার ক্লাবে থাকা ক্রিকারটারদের মধ্যে ধোনির গড়ই একমাত্র ৫০ উর্ধ্ব.","প্রশংসা"
"2018/07/15 11:06:00 AM GMT+6","৬৭ টি ফিফটি এবং ১০ টি সেঞ্চুরি রয়েছে নামের পাশে.....

","প্রশংসা"
"2018/07/15 11:06:18 AM GMT+6","ক্রিকেটের ঠান্ডা মাথার এই সেরা ফিনিশারকে অভিনন্দন....অভিনন্দন মাহি

","প্রশংসা"
"2018/07/15 11:06:46 AM GMT+6","অভিনন্দন ধোনি দাদা! ","প্রশংসা"
"2018/07/15 11:07:30 AM GMT+6","আমার দেখা সেরা ক্যাপ্টেন ও সেরা উইকেট কিপার হল এম এস ধোনি।।।","প্রশংসা"
"2018/07/15 11:08:20 AM GMT+6","পছন্দের প্লেয়ার। ","প্রশংসা"
"2018/07/15 11:08:36 AM GMT+6","এই ক্রিকেটে একমাত্র প্লেয়ার যাকে আমি সবচেয়ে বেশি ভালোবাসি!","প্রশংসা"
"2018/07/15 2:18:26 PM GMT+6","সাকিব আল হাসান বর্তমান বিশ্বের অন্যতম সেরা ক্রিকেটার।তাঁর বোলিং ইকোনমিক, স্ট্রাইকরেট,ব্যাটিং গড়,স্ট্রাইকরেট দেখলে যে কেউ বলে দিবেন অলরাউন্ডার হিসেবে ইতিহাসে সেরাদের সেরা হয়েই থাকবেন।","প্রশংসা"
"2018/07/15 2:20:23 PM GMT+6","বাংলাদেশের অন্যান্য প্লেয়ার দের থেকে খুবই ভালো।।সাকিব না থাকলে হয়তো এই পরিমান রানও বাংলাদেশের কোন ব্যাটসম্যান নিতে পারবে না।","প্রশংসা"
"2018/07/15 2:21:36 PM GMT+6","বাহ যাদের সাথে একটু খারাপ তাদের সাথে গড় তুলছেন! আমার কথা নিউজিল্যান্ড কি ছোট দল? ","সমালোোচনা"
"2018/07/15 2:25:47 PM GMT+6","এটা শুধু সাকিব না ভাই আপনি বিরাট কোহলির ১৭ সালের রেকর্ড দেখেন ওভারঅল গড় মেয়বি ৭০ এর বেশি ছিল কিন্তু ওপর সারির দলের সাথে গড় কত জানেন ১৩ ছিল যেটা নিয়ে একটা পোস্ট আমি অন্য গ্রুপে দেখছি।","সমালোোচনা"
"2018/07/15 2:26:29 PM GMT+6","সাকিব শুধু এই ৩ টা দলের সাথেই খারাপ খেলছে....।
আপনি যে সাকিব হেটার আর বুঝানো লাগবে না।","সমালোোচনা"
"2018/07/15 2:27:48 PM GMT+6","কোন ব্যাটসম্যান ২ ইনিংসে ডাক মারলে তা হয়ে পেয়ার আর টানা ২ ইনিংসে ১ম বলে আউট হলে তা হয় কিং পেয়ার।","সমালোোচনা"
"2018/07/15 2:28:22 PM GMT+6"," ১ম ইনিংসে আউট ছিলো না বাট 😣😣 ব্যাড লাক।","দু:খদায়ক"
"2018/07/15 2:29:15 PM GMT+6","এই সিরিজ মানেই ছিল রেকর্ড অভিনন্দন |","প্রশংসা"
"2018/07/15 2:30:06 PM GMT+6","বাংলাদেশ দল মানে রেকর্ড! এদেশের প্লেয়ার মানে রেকর্ড! {অভিনন্দন}","প্রশংসা"
"2018/07/15 2:30:55 PM GMT+6","তাকে যেভাবে মিডিয়া আর গ্রুপগুলোতে হাইলি রেট করা হয়,তিনি তার ৫০% এর ও যোগ্য কি না আমার সন্দেহ আছে!
","সমালোোচনা"
"2018/07/15 2:31:14 PM GMT+6","দেশের বাইরে তার গড় ২৫,যেখানে দেশে গড় ৫৯ এর মতো।বেশীরভাগ রানই আবার চিটাগাং এর ফ্লাট পিচে।একটু সুইং,একটু টার্ন হলেই উনি রান নিতে পারেন না।
","সমালোোচনা"
"2018/07/15 2:31:46 PM GMT+6","হাতুড়িসিংহে তার এবিলিটি বুঝতে পেরেই তাকে বিদেশে বাদ দিতে চেয়েছিলেন,কখনো বাদ দিয়ে সফল ও হয়েছিলেন।","প্রশংসা"
"2018/07/15 7:31:49 PM GMT+6","লাস্টের দিকে যা বললেন যে ট্রল না করার কথা। অন্য টিমকে ট্রল না করে আমাদের ভাত হজম হয় ?","সমালোোচনা"
"2018/07/15 7:32:08 PM GMT+6","ক্রিকেট নিয়েই আলোচনার দরকার নাই আমরা ও জিনিসটা খুব একটা ভালো খেলিনা।","সমালোোচনা"
"2018/07/15 7:33:33 PM GMT+6","সাকিব বা অন্য যে কোনও প্লেয়ার এর এই রেকর্ড মূল্যহীন যদি সেটা দলকে জেতাতে না পারে।","সমালোোচনা"
"2018/07/15 7:35:29 PM GMT+6","পরাজয় গুলো শুধুই যেন
পরাজয়ই না থেকে যায়...
ভেবেছিলাম আজ জিতবো😒..","দু:খদায়ক"
"2018/07/15 7:36:39 PM GMT+6","আর কয়েক বছর ওয়েট করেন। খেলার মান উন্নত না করলে আর নিত্য নতুন কেলেঙ্কারি ঘটানো বন্ধ না করলে গালিবাজদেরও আর প্লেয়ারদের পেজে খুজে পাওয়া যাবে না :)","সমালোোচনা"
"2018/07/15 7:36:57 PM GMT+6","পান্না ঘোষের রেকর্ডগড়া বোলিংয়ে ২৫ রানের জয়ে বাছাইপর্বের চ্যাম্পিয়ন হয়েছে বাংলাদেশ।","প্রশংসা"
"2018/07/15 7:38:42 PM GMT+6","আপনি অনেক ভালো মানুষ। কিন্তু ক্রিকেট একটু কম বোঝেন। অভিজ্ঞতা থাকায় বুঝি এই ম্যাচে বাংলাদেশ দেড়শর মতো রান করতে পারবে বড়জোর।
এত এক্সপেক্টেশন্স রাখবেন না। তাহলে অনেক কস্ট পাবেন","দু:খদায়ক"
"2018/07/15 7:39:20 PM GMT+6","মুশি অনেক অনুশীলন করে। এটা নিয়েও অবশ্যই কাজ করবে। তিন/চারদিন নেট করে তো আর দূর্বলতা কাটানো যায় না।","প্রশংসা"
"2018/07/15 7:40:04 PM GMT+6","আগে কিছু অর্জন করুন তারপর ট্রল কইরেন, ট্রল করতে গেলেও একটা লেভেল বানাইতে হয়, যেইটার আশেপাশেও আমরা নাই, একটা দল সাধারণ একটা পিচে তিন দিনের মাঝেই অল আউট হয়, একটা ইনিংস এও ২০০ করতে পারে নাহ, আর দায়িত্বহীনভাবে আউট তো এই বাংলাদেশ দলে সবচেয়ে বেশি","সমালোোচনা"
"2018/07/15 7:40:30 PM GMT+6","এবার সাউথ আফ্রিকার সাথে তুলনা করা শুরু করছেন। এই দল দুইদিন পর আবার জিতবে, র‍্যাংকিং এ ২ নাম্বারে আছে। তাদের ক্ষেত্রে এইটা এক্সিডেন্ট। আমাদের নিয়মিত ঘটনা।","সমালোোচনা"
"2018/07/15 7:41:48 PM GMT+6","- তামিম টি-টুয়েন্টির জন্য না।
- রিয়াদ টেষ্টের জন্য না।
- মমিনুলকে পিচ বুঝে খেলাতে হবে। সে ফ্লাট পিচে অধিক পারদর্শী। সেই সাথে অফস্পিনে খুবই দূর্বল।","সমালোোচনা"
"2018/07/15 7:42:06 PM GMT+6","কিন্তু আফসোস সাপোর্ট দেয়ার কেউ নেই। আছে শুধু জেতার পর গিফট দেয়ার আর হারের পর গালি দেয়ার লোক।","দু:খদায়ক"
"2018/07/15 7:42:32 PM GMT+6","আপাতত ওদের যেটা দরকার সেটা হলো সাপোর্ট। বাজি ধরে বলতে পারি, এই উইন্ডিস দলের সাথে, ওই একই মাঠে খেলা হবে, শুধু গ্যালারিতে থাকবে আমাদের দর্শক। দেখবেন এই হারা ম্যাচটাও জিতিয়ে নিয়ে আসবে ওরা।","প্রশংসা"
"2018/07/15 7:43:19 PM GMT+6","যাই হোক, অধিনায়ক সাকিব সামনে থেকে নেতৃত্ব দিচ্ছেন, দেখতে ভাল লাগছে। ওয়েল ডান সাকিব, ওয়েল ডান ক্যাপ্টেন।","প্রশংসা"
"2018/07/15 7:46:11 PM GMT+6","খুব হতাশাজনক","দু:খদায়ক"
"2018/07/15 7:46:26 PM GMT+6","বাংলাদেশ, শ্রীলংকা এই দলগুলি এখন একটা ভাঙ্গা গড়ার মধ্য দিয়ে যাচ্ছে। দলে অনেক নতুন মুখ আসছে--আরও সময় দরকার।","দু:খদায়ক"
"2018/07/15 7:46:44 PM GMT+6","সাকিব তার নিজের রেকর্ডের জন্য খেলে তা কাল আবারও প্রমানিত হয়েছে।","সমালোোচনা"
